Step	Suggestion	Action	Compliance	Reward	True_mu	Estimated_mu	Temperature	Q_max
1	0.5556	1.8643	NA	NA	1.9990	4.0000	1.0000	0.0000
2	4.2929	2.1406	NA	NA	1.9990	4.0000	1.0000	0.0000
3	1.7172	1.7595	NA	NA	1.9990	4.0000	1.0000	0.0000
4	3.1313	2.1205	NA	NA	1.9990	4.0000	1.0000	0.0000
5	2.6263	2.3677	NA	NA	1.9990	4.0000	1.0000	0.0000
6	0.6061	1.8005	NA	NA	1.9990	4.0000	1.0000	0.0000
7	0.6566	1.9512	NA	NA	1.9990	4.0000	1.0000	0.0000
8	1.0101	1.7939	NA	NA	1.9990	4.0000	1.0000	0.0000
9	0.3535	2.0114	NA	NA	1.9990	4.0000	1.0000	0.0000
10	0.2020	1.8989	NA	NA	1.9990	4.0000	1.0000	0.0000
11	4.5960	2.0824	0.0000	0.1347	1.9980	2.8494	0.9640	0.0808
12	3.5859	2.0385	0.0227	0.1458	1.9970	2.3629	0.9377	0.0875
13	2.9798	2.4505	0.2348	0.4142	1.9970	2.4154	0.9160	0.2485
14	2.1717	2.1627	0.9552	1.0150	1.9970	2.2638	0.8948	0.6090
15	2.1717	2.1623	0.9557	1.0145	1.9980	2.2029	0.8755	0.8523
16	3.9394	2.1107	0.0035	0.1487	1.9990	2.1476	0.8574	0.8523
17	2.4242	2.3146	0.7634	0.8640	2.0000	2.2478	0.8404	0.8523
18	2.9798	2.3744	0.2376	0.3857	2.0010	2.3237	0.8234	0.8523
19	3.3838	2.0491	0.0570	0.1622	2.0020	2.1590	0.8066	0.8523
20	3.0303	2.2436	0.2054	0.3169	2.0030	2.1989	0.7916	0.8523
21	2.5758	2.3678	0.6124	0.7344	2.0040	2.2274	0.7769	0.8523
22	3.7374	2.0917	0.0111	0.1481	2.0050	2.2327	0.7626	0.8523
23	3.8889	1.8579	0.0049	0.1225	2.0060	2.1735	0.7488	0.8523
24	2.1717	2.1565	0.9601	1.0173	2.0070	2.1729	0.7360	0.9513
25	2.3232	2.3023	0.8615	0.9553	2.0080	2.1869	0.7237	0.9513
26	1.8687	1.8709	0.9709	0.9915	2.0090	2.1629	0.7118	0.9513
27	2.0707	2.0674	0.9945	1.0358	2.0100	2.1382	0.7006	0.9513
28	3.0303	2.2341	0.2105	0.3188	2.0110	2.1241	0.6899	0.9513
29	4.0909	1.8796	0.0015	0.1202	2.0120	2.1072	0.6798	0.9513
30	3.0303	2.1760	0.2117	0.3074	2.0130	2.1004	0.6703	0.9513
31	2.2222	2.2162	0.9370	1.0061	2.0140	2.0853	0.6611	0.9513
32	2.4242	2.3528	0.7779	0.8885	2.0150	2.1114	0.6525	0.9513
33	3.1313	2.0770	0.1548	0.2420	2.0160	2.1333	0.6440	0.9513
34	2.8283	2.3629	0.3726	0.5041	2.0170	2.1539	0.6357	0.9513
35	2.3232	2.2822	0.8696	0.9573	2.0180	2.1519	0.6275	0.9513
36	2.6768	2.3603	0.5226	0.6458	2.0190	2.2009	0.6197	0.9513
37	2.2727	2.2538	0.9086	0.9890	2.0200	2.2195	0.6119	0.9513
38	2.1717	2.1658	0.9665	1.0260	2.0210	2.2127	0.6042	0.9961
39	3.9394	2.1701	0.0040	0.1609	2.0220	2.2417	0.5969	0.9961
40	2.0707	2.0705	0.9966	1.0396	2.0230	2.2312	0.5897	0.9961
41	3.7879	2.1368	0.0094	0.1559	2.0240	2.2232	0.5829	0.9961
42	3.9899	1.9924	0.0031	0.1334	2.0250	2.1872	0.5764	0.9961
43	2.3232	2.2994	0.8759	0.9691	2.0260	2.2094	0.5703	0.9961
44	2.2727	2.2407	0.9134	0.9903	2.0270	2.1972	0.5644	0.9961
45	3.7374	2.0426	0.0125	0.1419	2.0280	2.1732	0.5588	0.9961
46	3.2828	2.2108	0.0946	0.2188	2.0290	2.1583	0.5536	0.9961
47	2.8283	2.4127	0.3845	0.5341	2.0300	2.1742	0.5487	0.9961
48	2.4242	2.3737	0.7930	0.9117	2.0310	2.1950	0.5439	0.9961
49	2.2727	2.2627	0.9167	0.9991	2.0320	2.2042	0.5392	0.9961
50	2.4242	2.3811	0.7948	0.9168	2.0330	2.2353	0.5345	0.9961
51	2.6768	2.3385	0.5381	0.6551	2.0340	2.2554	0.5299	0.9961
52	2.3232	2.2769	0.8828	0.9711	2.0350	2.2839	0.5252	0.9961
53	3.4343	2.1502	0.0532	0.1798	2.0360	2.2690	0.5206	0.9961
54	2.0202	2.0212	0.9996	1.0361	2.0370	2.2470	0.5162	0.9961
55	3.0303	2.2540	0.2283	0.3435	2.0380	2.2682	0.5122	0.9961
56	2.7778	2.4162	0.4410	0.5909	2.0390	2.2887	0.5082	0.9961
57	2.1212	2.1206	0.9902	1.0418	2.0400	2.2595	0.5042	0.9961
58	3.2323	2.0331	0.1190	0.2101	2.0410	2.2254	0.5005	0.9961
59	3.9899	2.0016	0.0034	0.1349	2.0420	2.1993	0.4973	0.9961
60	2.0202	2.0205	0.9992	1.0344	2.0430	2.1633	0.4944	0.9961
61	2.0707	2.0714	0.9989	1.0408	2.0440	2.1366	0.4918	0.9961
62	3.3838	2.2215	0.0680	0.2029	2.0450	2.1310	0.4896	0.9961
63	3.0303	2.2498	0.2338	0.3461	2.0460	2.1410	0.4874	0.9961
64	2.6768	2.3504	0.5516	0.6712	2.0470	2.1739	0.4853	0.9961
65	3.5859	2.1258	0.0288	0.1612	2.0480	2.1611	0.4831	0.9961
66	2.1212	2.1204	0.9922	1.0420	2.0490	2.1315	0.4810	0.9961
67	3.4848	2.2192	0.0456	0.1884	2.0500	2.1414	0.4792	0.9961
68	3.9899	2.1931	0.0036	0.1642	2.0510	2.1574	0.4774	0.9961
69	2.7273	2.3364	0.5046	0.6224	2.0520	2.1908	0.4756	0.9961
70	4.0404	2.0273	0.0027	0.1369	2.0530	2.1915	0.4736	0.9961
71	2.4747	2.4163	0.7668	0.9030	2.0540	2.2260	0.4717	0.9961
72	2.9293	2.3786	0.3177	0.4623	2.0550	2.2417	0.4696	0.9961
73	3.5354	2.1706	0.0375	0.1753	2.0560	2.2338	0.4674	0.9961
74	3.3838	2.0587	0.0713	0.1783	2.0570	2.2046	0.4655	0.9961
75	2.4242	2.3609	0.8177	0.9326	2.0580	2.2281	0.4638	0.9961
76	3.2323	2.2513	0.1268	0.2573	2.0590	2.2412	0.4620	0.9961
77	2.5758	2.3976	0.6710	0.8040	2.0600	2.2591	0.4602	0.9961
78	2.1717	2.1708	0.9818	1.0429	2.0610	2.2568	0.4583	1.0242
79	3.2323	2.0890	0.1282	0.2269	2.0620	2.2321	0.4565	1.0242
80	3.7879	2.1910	0.0115	0.1687	2.0630	2.2485	0.4550	1.0242
81	2.0202	2.0214	0.9971	1.0331	2.0640	2.2090	0.4534	1.0242
82	2.2727	2.2678	0.9373	1.0209	2.0650	2.1979	0.4521	1.0242
83	3.4848	1.9700	0.0488	0.1535	2.0660	2.1779	0.4510	1.0242
84	2.3232	2.2740	0.9062	0.9924	2.0670	2.1994	0.4501	1.0242
85	4.0909	2.0108	0.0022	0.1335	2.0680	2.1644	0.4491	1.0242
86	2.2727	2.2537	0.9396	1.0192	2.0690	2.1646	0.4483	1.0242
87	2.4747	2.3928	0.7821	0.9087	2.0700	2.1641	0.4476	1.0242
88	2.1717	2.1682	0.9849	1.0442	2.0710	2.1639	0.4469	1.0362
89	3.1313	2.2106	0.1858	0.2974	2.0720	2.1760	0.4463	1.0362
90	2.1717	2.1711	0.9855	1.0455	2.0730	2.1740	0.4455	1.0418
91	2.3232	2.2992	0.9110	1.0041	2.0740	2.2018	0.4449	1.0418
92	3.5859	1.9614	0.0326	0.1439	2.0750	2.1712	0.4440	1.0418
93	2.9798	2.3695	0.2937	0.4381	2.0760	2.2111	0.4434	1.0418
94	2.3232	2.2901	0.9131	1.0038	2.0770	2.2127	0.4426	1.0418
95	3.8384	2.0739	0.0096	0.1479	2.0780	2.2190	0.4417	1.0418
96	2.2727	2.2611	0.9453	1.0274	2.0790	2.2198	0.4409	1.0418
97	2.4242	2.3866	0.8371	0.9608	2.0800	2.2192	0.4401	1.0418
98	2.8788	2.3768	0.3849	0.5255	2.0810	2.2400	0.4393	1.0418
99	2.1717	2.1702	0.9880	1.0487	2.0820	2.2360	0.4384	1.0459
100	2.5758	2.3351	0.6947	0.8064	2.0830	2.2524	0.4376	1.0459
101	2.2727	2.2588	0.9480	1.0300	2.0840	2.2483	0.4366	1.0459
102	3.5354	2.0366	0.0426	0.1597	2.0850	2.2559	0.4358	1.0459
103	1.4646	1.7272	0.5604	0.5729	2.0860	2.1916	0.4349	1.0459
104	4.0404	2.1644	0.0033	0.1583	2.0870	2.1791	0.4345	1.0459
105	1.9192	1.9284	0.9586	0.9839	2.0870	2.1645	0.4343	1.0459
106	2.0707	2.0710	0.9996	1.0415	2.0870	2.1455	0.4341	1.0459
107	2.9798	2.3412	0.3033	0.4375	2.0880	2.1410	0.4341	1.0459
108	3.4343	2.1556	0.0662	0.1917	2.0890	2.1188	0.4341	1.0459
109	2.0202	2.0205	0.9927	1.0273	2.0900	2.1039	0.4343	1.0459
110	2.2727	2.2541	0.9517	1.0306	2.0910	2.0958	0.4346	1.0459
111	2.0707	2.0704	0.9994	1.0406	2.0900	2.0769	0.4349	1.0459
112	2.0202	2.0239	0.9929	1.0276	2.0890	2.0757	0.4354	1.0459
113	3.0303	2.4050	0.2655	0.4255	2.0900	2.1435	0.4358	1.0459
114	2.0707	2.0687	0.9994	1.0409	2.0910	2.1339	0.4357	1.0459
115	2.0202	2.0190	0.9923	1.0271	2.0920	2.1429	0.4357	1.0459
116	2.9293	2.4471	0.3503	0.5202	2.0930	2.1805	0.4357	1.0459
117	2.3232	2.3095	0.9242	1.0199	2.0940	2.1774	0.4354	1.0459
118	2.5253	2.4127	0.7575	0.8936	2.0950	2.2031	0.4351	1.0459
119	3.1313	2.3544	0.2003	0.3518	2.0960	2.2365	0.4346	1.0459
120	2.3232	2.3010	0.9261	1.0203	2.0970	2.2412	0.4339	1.0459
121	2.4242	2.3837	0.8524	0.9759	2.0980	2.2725	0.4332	1.0459
122	2.5758	2.4596	0.7111	0.8700	2.0990	2.3161	0.4323	1.0459
123	3.4848	2.2841	0.0563	0.2176	2.1000	2.3040	0.4312	1.0459
124	2.3232	2.3083	0.9286	1.0264	2.1010	2.3279	0.4301	1.0459
125	3.4848	2.1586	0.0568	0.1904	2.1020	2.3419	0.4290	1.0459
126	2.4747	2.4137	0.8128	0.9500	2.1030	2.3386	0.4277	1.0459
127	2.2727	2.2656	0.9582	1.0436	2.1040	2.3342	0.4266	1.0459
128	2.3737	2.3579	0.8973	1.0117	2.1050	2.3287	0.4255	1.0459
129	2.4242	2.3865	0.8591	0.9846	2.1060	2.3319	0.4245	1.0459
130	3.7374	2.1868	0.0186	0.1739	2.1070	2.3205	0.4236	1.0459
131	2.7778	2.4500	0.5102	0.6745	2.1080	2.3271	0.4227	1.0459
132	2.4747	2.4022	0.8182	0.9507	2.1090	2.3214	0.4218	1.0459
133	2.1212	2.1213	0.9998	1.0524	2.1100	2.3051	0.4211	1.0459
134	2.3232	2.3184	0.9347	1.0351	2.1110	2.3061	0.4204	1.0459
135	2.1717	2.1720	0.9947	1.0570	2.1120	2.3074	0.4198	1.0526
136	3.7879	2.1215	0.0149	0.1596	2.1130	2.2782	0.4192	1.0526
137	4.7980	2.1796	0.0000	0.1125	2.1140	2.2696	0.4188	1.0526
138	2.3232	2.3048	0.9370	1.0327	2.1150	2.2643	0.4185	1.0526
139	2.2727	2.2695	0.9638	1.0487	2.1160	2.2526	0.4183	1.0526
140	3.7879	2.0818	0.0152	0.1532	2.1170	2.2421	0.4181	1.0526
141	3.0303	2.2930	0.2870	0.4117	2.1180	2.2264	0.4181	1.0526
142	3.8889	2.3321	0.0091	0.2049	2.1190	2.2194	0.4181	1.0526
143	2.9798	2.4055	0.3299	0.4879	2.1200	2.2478	0.4182	1.0526
144	2.4747	2.4167	0.8289	0.9657	2.1210	2.2576	0.4181	1.0526
